央视,#genre#
重庆-新闻,http://211.158.152.143:8003/udp/225.0.4.188:7980
重庆-社会与法,http://211.158.152.143:8003/udp/225.0.4.190:7980
重庆-少儿,http://211.158.152.143:8003/udp/225.0.4.191:7980
重庆-影视,http://211.158.152.143:8003/udp/225.0.4.192:7980
重庆-科教,http://211.158.152.143:8003/udp/225.0.4.193:7980
重庆-文体娱乐,http://211.158.152.143:8003/udp/225.0.4.194:7980
重庆-汽摩,http://211.158.152.143:8003/udp/225.0.4.195:7980
重庆-时尚生活,http://211.158.152.143:8003/udp/225.0.4.196:7980
重庆-新农村,http://211.158.152.143:8003/udp/225.0.4.189:7980
重庆-移动,http://211.158.152.143:8003/udp/225.0.4.215:7980
重庆-新闻,http://211.158.152.143:8003/udp/225.0.4.59:7980
重庆-汽摩,http://211.158.152.143:8003/udp/225.0.4.61:7980
重庆-影视,http://211.158.152.143:8003/udp/225.0.4.62:7980
重庆-科教,http://211.158.152.143:8003/udp/225.0.4.63:7980
重庆-社会与法,http://211.158.152.143:8003/udp/225.0.4.64:7980
重庆-文体娱乐,http://211.158.152.143:8003/udp/225.0.4.65:7980
重庆-移动,http://211.158.152.143:8003/udp/225.0.4.68:7980
重庆-时尚生活,http://211.158.152.143:8003/udp/225.0.4.69:7980
重庆-新农村,http://211.158.152.143:8003/udp/225.0.4.70:7980
重庆-少儿,http://211.158.152.143:8003/udp/225.0.4.71:7980
上海-纪实人文,http://211.158.152.143:8003/udp/225.0.4.99:7980
上海-纪实人文,http://211.158.152.143:8003/udp/225.0.4.99:7980
